C06944KEGGOSDD,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O
C12013KEGGOSDD,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=C(N)C=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O
C05086KEGGOSDD,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
C07306KEGGOSDD,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O
C00018KEGGOSDD,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
C02823KEGGOSDD,[C@H]1([C@@H]2[C@H]([C@@H](N3C4=CC(=C(C)C=C4[N+]([Co-3]456(N7C8=C(C9=[N+]4C(C([C@@H]9CCC(N)=O)(C)C)=CC4=[N+]5C(=C(C5=[N+]6[C@@]([C@]7([C@@H]([C@@]8(C)CCC(=O)NC[C@@]([H])(C)OP([O-])(=O)O2)CC(N)=O)[H])([C@@]([C@@H]5CCC(N)=O)(C)CC(N)=O)C)C)[C@@]([C@@H]4CCC(N)=O)(C)CC(N)=O)C)C#N)=C3)C)O1)O)CO
C00101KEGGOSDD,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1
C00135KEGGOSDD,N[C@@H](CC1=CN=CN1)C(O)=O
C00019KEGGOSDD,[H][C@](N)(CC[S+](C)C[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C([O-])=O
C00022KEGGOSDD,CC(=O)C(O)=O
C00079KEGGOSDD,N[C@@H](CC1=CC=CC=C1)C(O)=O
C00120KEGGOSDD,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
C00114KEGGOSDD,C[N+](C)(C)CCO
C00047KEGGOSDD,NCCCC[C@H](N)C(O)=O
C00062KEGGOSDD,N[C@@H](CCCNC(N)=N)C(O)=O
C00072KEGGOSDD,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
C00750KEGGOSDD,NCCCNCCCCNCCCN
C00049KEGGOSDD,N[C@@H](CC(O)=O)C(O)=O
C00077KEGGOSDD,NCCC[C@H](N)C(O)=O
C00064KEGGOSDD,N[C@@H](CCC(N)=O)C(O)=O
C00020KEGGOSDD,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
C06427KEGGOSDD,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
C00065KEGGOSDD,N[C@@H](CO)C(O)=O
C00073KEGGOSDD,CSCC[C@H](N)C(O)=O
C00082KEGGOSDD,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
C01673KEGGOSDD,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
C08601KEGGOSDD,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
C00491KEGGOSDD,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
C00042KEGGOSDD,OC(=O)CCC(O)=O
C00255KEGGOSDD,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
C00140KEGGOSDD,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
C00025KEGGOSDD,N[C@@H](CCC(O)=O)C(O)=O
C02471KEGGOSDD,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
C00037KEGGOSDD,NCC(O)=O
C01561KEGGOSDD,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
C00250KEGGOSDD,CC1=NC=C(CO)C(C=O)=C1O
C00300KEGGOSDD,CN(CC(O)=O)C(N)=N
C00123KEGGOSDD,CC(C)C[C@H](N)C(O)=O
C00078KEGGOSDD,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O
C00097KEGGOSDD,N[C@@H](CS)C(O)=O
C00378KEGGOSDD,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
C05441KEGGOSDD,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
C03242KEGGOSDD,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O
C00327KEGGOSDD,N[C@@H](CCCNC(N)=O)C(O)=O
C00188KEGGOSDD,C[C@@H](O)[C@H](N)C(O)=O
C00004KEGGOSDD,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
C00504KEGGOSDD,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
C06428KEGGOSDD,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
C00041KEGGOSDD,C[C@H](N)C(O)=O
C00183KEGGOSDD,CC(C)[C@H](N)C(O)=O
