ichr - hs1 Compounds(n=99) 1 99000 white
band hs1 NVIC0093 c1 1 1000 black
band hs1 NVIC0091 c2 1001 2000 grey
band hs1 NVIC0095 c3 2001 3000 black
band hs1 NVIC0004 c4 3001 4000 grey
band hs1 NVIC0058 c5 4001 5000 black
band hs1 NVIC0092 c6 5001 6000 grey
band hs1 NVIC0081 c7 6001 7000 black
band hs1 NVIC0088 c8 7001 8000 grey
band hs1 NVIC0050 c9 8001 9000 black
band hs1 NVIC0049 c10 9001 10000 grey
band hs1 NVIC0066 c11 10001 11000 black
band hs1 NVIC0010.1 c12 11001 12000 grey
band hs1 NVIC0010.2 c13 12001 13000 black
band hs1 NVIC0059 c14 13001 14000 grey
band hs1 NVIC0019 c15 14001 15000 black
band hs1 NVIC0023 c16 15001 16000 grey
band hs1 NVIC0047 c17 16001 17000 black
band hs1 NVIC0069 c18 17001 18000 grey
band hs1 NVIC0021 c19 18001 19000 black
band hs1 NVIC0084 c20 19001 20000 grey
band hs1 NVIC0020 c21 20001 21000 black
band hs1 NVIC0096 c22 21001 22000 grey
band hs1 NVIC0072 c23 22001 23000 black
band hs1 NVIC0003 c24 23001 24000 grey
band hs1 NVIC0030 c25 24001 25000 black
band hs1 NVIC0098 c26 25001 26000 grey
band hs1 NVIC0087 c27 26001 27000 black
band hs1 NVIC0022 c28 27001 28000 grey
band hs1 NVIC0085 c29 28001 29000 black
band hs1 NVIC0065 c30 29001 30000 grey
band hs1 NVIC0073 c31 30001 31000 black
band hs1 NVIC0033 c32 31001 32000 grey
band hs1 NVIC0034 c33 32001 33000 black
band hs1 NVIC0062 c34 33001 34000 grey
band hs1 NVIC0052 c35 34001 35000 black
band hs1 NVIC0038 c36 35001 36000 grey
band hs1 NVIC0067 c37 36001 37000 black
band hs1 NVIC0044 c38 37001 38000 grey
band hs1 NVIC0048 c39 38001 39000 black
band hs1 NVIC0024 c40 39001 40000 grey
band hs1 NVIC0014 c41 40001 41000 black
band hs1 NVIC0037 c42 41001 42000 grey
band hs1 NVIC0083 c43 42001 43000 black
band hs1 NVIC0061 c44 43001 44000 grey
band hs1 NVIC0040 c45 44001 45000 black
band hs1 NVIC0013 c46 45001 46000 grey
band hs1 NVIC0015 c47 46001 47000 black
band hs1 NVIC0025 c48 47001 48000 grey
band hs1 NVIC0042 c49 48001 49000 black
band hs1 NVIC0041 c50 49001 50000 grey
band hs1 NVIC0027 c51 50001 51000 black
band hs1 NVIC0082 c52 51001 52000 grey
band hs1 NVIC0026 c53 52001 53000 black
band hs1 NVIC0078 c54 53001 54000 grey
band hs1 NVIC0035 c55 54001 55000 black
band hs1 NVIC0039 c56 55001 56000 grey
band hs1 NVIC0036 c57 56001 57000 black
band hs1 NVIC0077 c58 57001 58000 grey
band hs1 NVIC0097 c59 58001 59000 black
band hs1 NVIC0009 c60 59001 60000 grey
band hs1 NVIC0057 c61 60001 61000 black
band hs1 NVIC0070 c62 61001 62000 grey
band hs1 NVIC0046 c63 62001 63000 black
band hs1 NVIC0032 c64 63001 64000 grey
band hs1 NVIC0089 c65 64001 65000 black
band hs1 NVIC0043 c66 65001 66000 grey
band hs1 NVIC0056 c67 66001 67000 black
band hs1 NVIC0064 c68 67001 68000 grey
band hs1 NVIC0031 c69 68001 69000 black
band hs1 NVIC0012 c70 69001 70000 grey
band hs1 NVIC0076 c71 70001 71000 black
band hs1 NVIC0028 c72 71001 72000 grey
band hs1 NVIC0016 c73 72001 73000 black
band hs1 NVIC0018 c74 73001 74000 grey
band hs1 NVIC0011 c75 74001 75000 black
band hs1 NVIC0017 c76 75001 76000 grey
band hs1 NVIC0054 c77 76001 77000 black
band hs1 NVIC0060 c78 77001 78000 grey
band hs1 NVIC0075 c79 78001 79000 black
band hs1 NVIC0029 c80 79001 80000 grey
band hs1 NVIC0001 c81 80001 81000 black
band hs1 NVIC0086 c82 81001 82000 grey
band hs1 NVIC0008 c83 82001 83000 black
band hs1 NVIC0045 c84 83001 84000 grey
band hs1 NVIC0094 c85 84001 85000 black
band hs1 NVIC0006 c86 85001 86000 grey
band hs1 NVIC0005 c87 86001 87000 black
band hs1 NVIC0007 c88 87001 88000 grey
band hs1 NVIC0002 c89 88001 89000 black
band hs1 NVIC0074 c90 89001 90000 grey
band hs1 NVIC0063 c91 90001 91000 black
band hs1 NVIC0055 c92 91001 92000 grey
band hs1 NVIC0090 c93 92001 93000 black
band hs1 NVIC0068 c94 93001 94000 grey
band hs1 NVIC0051 c95 94001 95000 black
band hs1 NVIC0053 c96 95001 96000 grey
band hs1 NVIC0080 c97 96001 97000 black
band hs1 NVIC0079 c98 97001 98000 grey
band hs1 NVIC0071 c99 98001 99000 black
