Compound ID	IC50[uM]	EC50[uM]	DriLito filters 	Accepted	Rejected	PAINS	FDA Approved<br>(TC >0.8)
NVIC0002		0.029*	1		&#10004;		&#10008;
NVIC0021		0.281 &#xB1 0.0448*	3	&#10004;			&#10008;
NVIC0023	0.25**		4	&#10004;			&#10008;
NVIC0024	0.149*		5		&#10004;		&#10008;
NVIC0025	0.525		6	&#10004;			&#10008;
NVIC0026	0.218		5			&#10004;	&#10008;
NVIC0027	0.0027		5			&#10004;	DB00188
NVIC0028	0.00047		1	&#10004;			&#10008;
NVIC0029	0.07		4		&#10004;		&#10008;
NVIC0032		0.0289 &#xB1 0.0102*	6	&#10004;			&#10008;
NVIC0048	2, 0.62		6	&#10004;			"DB00608, DB01611"
